,,,,,,,United States Senator - DEM (Vote For=1),United States Senator - DEM (Vote For=1),Representative to the 120th United States Congress - District 2 - DEM (Vote For=1),Governor - DEM (Vote For=1),Governor - DEM (Vote For=1),Secretary of State - DEM (Vote For=1),Secretary of State - DEM (Vote For=1),State Treasurer - DEM (Vote For=1),Attorney General - DEM (Vote For=1),Attorney General - DEM (Vote For=1),Attorney General - DEM (Vote For=1),Attorney General - DEM (Vote For=1),Regent of the University of Colorado - Congressional District 2 - DEM (Vote For=1),Regent of the University of Colorado - Congressional District 2 - DEM (Vote For=1),Regent of the University of Colorado - Congressional District 2 - DEM (Vote For=1),State Senator - District 15 - DEM (Vote For=1),State Senator - District 17 - DEM (Vote For=1),State Representative - District 10 - DEM (Vote For=1),State Representative - District 11 - DEM (Vote For=1),State Representative - District 12 - DEM (Vote For=1),State Representative - District 19 - DEM (Vote For=1),State Representative - District 19 - DEM (Vote For=1),State Representative - District 19 - DEM (Vote For=1),State Representative - District 49 - DEM (Vote For=1),Boulder County Commissioner - District 3 - DEM (Vote For=1),Boulder County Clerk and Recorder - DEM (Vote For=1),Boulder County Treasurer - DEM (Vote For=1),Boulder County Treasurer - DEM (Vote For=1),Boulder County Assessor - DEM (Vote For=1),Boulder County Sheriff - DEM (Vote For=1),Boulder County Surveyor - DEM (Vote For=1),Boulder County Coroner - DEM (Vote For=1),Secretary of State - LBR (Vote For=1),Secretary of State - LBR (Vote For=1),United States Senator - REP (Vote For=1),Representative to the 120th United States Congress - District 2 - REP (Vote For=1),Representative to the 120th United States Congress - District 2 - REP (Vote For=1),Governor - REP (Vote For=1),Governor - REP (Vote For=1),Governor - REP (Vote For=1),Governor - REP (Vote For=1),Governor - REP (Vote For=1),Secretary of State - REP (Vote For=1),State Treasurer - REP (Vote For=1),Attorney General - REP (Vote For=1),Attorney General - REP (Vote For=1),Regent of the University of Colorado - Congressional District 2 - REP (Vote For=1),State Senator - District 15 - REP (Vote For=1),State Senator - District 17 - REP (Vote For=1),State Representative - District 12 - REP (Vote For=1),State Representative - District 19 - REP (Vote For=1),State Representative - District 49 - REP (Vote For=1),Governor - UNI (Vote For=1),Governor - UNI (Vote For=1)
,,,,,,,Julie Gonzales,John Hickenlooper,Joe Neguse,Phil Weiser,Michael Bennet,Amanda Gonzalez,Jessie Danielson,Jeff Bridges,Jena Griswold,David Seligman,Michael Dougherty,Hetal Doshi,Kubs Lalchandani,Edie Hooton,Murray Smith,Janice Marchman,Katie Wallace,Junie Joseph,Karen McCormick,Kyle Brown,Anil Pesaramelli,Jillaire McMillan,Colton Jonjak Plahn,Lesley Smith,Ashley Stolzmann,Molly Fitzpatrick,Jenn Kaaoush,Rachel Friend,Cynthia Braddock,Curtis Johnson,Kayce D. W. Keane,Jeff Martin,Sean Vadney,Alex Astley,Mark Baisley,Kelley Anne Dennison,Christina Blunt (Ducommun),Scott Bottoms,Victor Marx,Barb Kirkmeyer,Write-In,"Kelvin ""K-Man"" Wimberly",James Wiley,Kevin Grantham,Michael J. Allen,David Willson,Marty Neilson,Rob Woodward,Pat Miller,Ryan Rhatigan,Dan Woog,Michael Sheperek,Paul NoÃ«l Fiorino,Jeff Peckman
CvrNumber,TabulatorNum,BatchId,RecordId,ImprintedId,CountingGroup,BallotType,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,LBR,LBR,REP,REP,REP,REP,REP,REP,,,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,UNI,UNI
55328,109,64,34,109-64-34,Regular,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,0,0,1,1,0,0,1,,,,,,,
55329,109,64,15,109-64-15,Regular,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,1,0,0,0,0,1,0,0,,0,,0,,,
55330,109,64,7,109-64-7,Regular,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,
55331,109,64,11,109-64-11,Regular,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,1,1,1,0,1,,,,,,,
55332,103,99,92,103-99-92,Regular,19,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,1,,,,,,,,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55333,103,99,91,103-99-91,Regular,19,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,1,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55334,103,99,56,103-99-56,Regular,19,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55335,103,99,55,103-99-55,Regular,16,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0,,,,,,,,,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55336,103,99,36,103-99-36,Regular,16,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,,,,,,,,,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55337,103,99,19,103-99-19,Regular,16,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
55338,103,99,9,103-99-9,Regular,16,0,1,1,1,0,1,0,1,0,0,1,0,0,1,0,,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55339,103,99,88,103-99-88,Regular,19,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,1,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55340,103,99,87,103-99-87,Regular,16,0,1,1,0,1,0,1,1,0,0,1,0,1,0,0,,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55341,103,99,50,103-99-50,Regular,16,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
55342,103,99,49,103-99-49,Regular,19,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,1,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55343,103,99,34,103-99-34,Regular,16,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55344,103,99,20,103-99-20,Regular,19,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,1,,,,,,,,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55345,103,99,2,103-99-2,Regular,16,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,,,,,,,,,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
55346,103,99,59,103-99-59,Regular,19,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,1,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55347,103,99,58,103-99-58,Regular,16,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,,,,,,,,,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55348,103,99,37,103-99-37,Regular,16,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0,,,,,,,,,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55349,103,99,21,103-99-21,Regular,19,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,,,,,,,,0,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55350,103,99,8,103-99-8,Regular,16,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,,,,,,,,,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55351,103,99,90,103-99-90,Regular,19,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,1,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55352,103,99,89,103-99-89,Regular,16,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,,,,,,,,,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
55353,103,99,54,103-99-54,Regular,16,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,,,,,,,,,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55354,103,99,53,103-99-53,Regular,16,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0,,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55355,103,99,35,103-99-35,Regular,16,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,,,,,,,,,0,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55356,103,99,22,103-99-22,Regular,16,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0,,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55357,103,99,5,103-99-5,Regular,19,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,,,,,,,,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
55358,103,99,96,103-99-96,Regular,16,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,,,,,,,,,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55359,103,99,95,103-99-95,Regular,16,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0,,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55360,103,99,61,103-99-61,Regular,16,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55361,103,99,60,103-99-60,Regular,16,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,,,,,,,,,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
55362,103,99,38,103-99-38,Regular,16,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55363,103,99,23,103-99-23,Regular,16,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,,,,,,,,,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55364,103,99,16,103-99-16,Regular,19,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,1,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55365,103,99,67,103-99-67,Regular,16,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55366,103,99,66,103-99-66,Regular,19,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,1,,,,,,,,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55367,103,99,44,103-99-44,Regular,16,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55368,103,99,24,103-99-24,Regular,16,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,,,,,,,,,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
55369,103,99,18,103-99-18,Regular,16,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,,,,,,,,,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55370,103,99,75,103-99-75,Regular,19,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,,,,,,,,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55371,103,99,74,103-99-74,Regular,16,0,1,1,0,1,0,1,1,0,0,1,0,1,0,0,,,,,,,,,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55372,103,99,40,103-99-40,Regular,16,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,,,,,,,,,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55373,103,99,25,103-99-25,Regular,19,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
55374,103,99,4,103-99-4,Regular,19,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55375,103,99,81,103-99-81,Regular,19,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,1,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55376,103,99,80,103-99-80,Regular,19,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55377,103,99,52,103-99-52,Regular,19,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55378,103,99,12,103-99-12,Regular,16,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,,,,,,,,,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55379,103,99,71,103-99-71,Regular,16,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,,,,,,,,,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55380,103,99,70,103-99-70,Regular,16,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,,,,,,,,,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
55381,103,99,45,103-99-45,Regular,16,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,,,,,,,,,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55382,103,99,27,103-99-27,Regular,16,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,,,,,,,,,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55383,103,99,13,103-99-13,Regular,16,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55384,103,99,63,103-99-63,Regular,19,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,1,,,,,,,,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55385,103,99,62,103-99-62,Regular,19,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,,,,,,,,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
55386,103,99,41,103-99-41,Regular,16,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55387,103,99,28,103-99-28,Regular,16,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55388,103,99,3,103-99-3,Regular,16,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55389,103,99,79,103-99-79,Regular,16,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0,,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55390,103,99,78,103-99-78,Regular,16,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55391,103,99,51,103-99-51,Regular,19,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,1,,,,,,,,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55392,103,99,6,103-99-6,Regular,16,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55393,103,99,100,103-99-100,Regular,19,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,,,,,,,,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55394,103,99,99,103-99-99,Regular,16,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55395,103,99,65,103-99-65,Regular,19,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55396,103,99,64,103-99-64,Regular,16,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0,,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55397,103,99,39,103-99-39,Regular,19,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
55398,103,99,30,103-99-30,Regular,19,0,1,1,1,0,0,1,1,0,0,1,0,0,0,1,1,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55399,103,99,11,103-99-11,Regular,19,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
55400,103,99,83,103-99-83,Regular,16,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55401,103,99,82,103-99-82,Regular,16,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
55402,103,99,57,103-99-57,Regular,19,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,1,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55403,103,99,31,103-99-31,Regular,19,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,1,,,,,,,,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55404,103,99,15,103-99-15,Regular,16,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
55405,103,99,77,103-99-77,Regular,19,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,1,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55406,103,99,76,103-99-76,Regular,16,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55407,103,99,47,103-99-47,Regular,16,0,1,1,1,0,1,0,1,0,0,1,0,0,1,0,,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55408,103,99,32,103-99-32,Regular,16,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,,,,,,,,,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55409,103,99,14,103-99-14,Regular,16,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55410,103,99,73,103-99-73,Regular,16,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55411,103,99,72,103-99-72,Regular,19,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
55412,103,99,48,103-99-48,Regular,16,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55413,103,99,33,103-99-33,Regular,16,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0,,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55414,103,99,7,103-99-7,Regular,16,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,,,,,,,,,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55415,103,99,86,103-99-86,Regular,16,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,,,,,,,,,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55416,103,99,85,103-99-85,Regular,16,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55417,103,99,69,103-99-69,Regular,16,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,,,,,,,,,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
55418,103,99,42,103-99-42,Regular,19,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,1,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55419,103,99,17,103-99-17,Regular,16,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
55420,103,99,94,103-99-94,Regular,16,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55421,103,99,93,103-99-93,Regular,16,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55422,103,99,68,103-99-68,Regular,16,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,,,,,,,,,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
55423,103,99,43,103-99-43,Regular,19,1,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55424,103,99,98,103-99-98,Regular,19,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55425,103,99,97,103-99-97,Regular,16,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,,,,,,,,,0,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
55426,103,99,84,103-99-84,Regular,19,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,,,,,,,,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
55427,103,99,46,103-99-46,Regular,19,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,1,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55428,103,99,10,103-99-10,Regular,16,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55429,103,99,1,103-99-1,Regular,19,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
55430,103,99,26,103-99-26,Regular,19,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
55431,103,99,29,103-99-29,Regular,16,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55432,105,91,99,105-91-99,Regular,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,0,1,1,1,0,1,,1,,,,,
55433,105,91,31,105-91-31,Regular,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,0,0,1,1,0,1,1,,1,,,,,
55434,105,91,30,105-91-30,Regular,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,0,0,1,1,1,0,1,,1,,,,,
55435,105,91,8,105-91-8,Regular,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,1,1,1,0,1,,1,,,,,
55436,105,91,7,105-91-7,Regular,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,1,0,0,1,1,1,0,1,,1,,,,,
55437,105,91,5,105-91-5,Regular,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,1,0,0,1,1,1,0,1,,1,,,,,
55438,105,91,4,105-91-4,Regular,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,1,0,0,0,0,1,0,0,,0,,,,,
55439,105,91,2,105-91-2,Regular,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,1,0,0,0,0,0,1,0,0,,0,,,,,
55440,105,91,1,105-91-1,Regular,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,1,1,0,1,1,,1,1,,,,
55441,105,91,81,105-91-81,Regular,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,1,0,0,0,0,0,1,0,,0,,,,,
55442,105,91,45,105-91-45,Regular,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,1,0,0,1,1,1,0,1,,1,,,,,
55443,105,91,44,105-91-44,Regular,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,0,1,1,0,1,1,,1,,,,,
55444,105,91,25,105-91-25,Regular,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,,,,
55445,105,91,13,105-91-13,Regular,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,1,1,0,1,1,,1,,,,,
55446,105,91,6,105-91-6,Regular,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,0,0,1,1,1,0,1,,1,,,,,
55447,105,91,58,105-91-58,Regular,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,1,0,0,1,1,0,1,1,,1,1,,,,
55448,105,91,57,105-91-57,Regular,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,1,0,0,0,1,1,0,1,,1,1,,,,
55449,105,91,33,105-91-33,Regular,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,1,0,0,1,1,1,0,1,,1,,,,,
55450,105,91,19,105-91-19,Regular,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,1,1,1,0,1,,1,,,,,
55451,105,91,9,105-91-9,Regular,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,0,0,0,1,1,0,1,1,,1,,,,,
